name,domain,basis_type,basis_detail,source_url,tenure_start,tenure_end,in_corpus_window,public_salience,notes
Naomi Oreskes,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
John Cook,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Peter Gleick,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Lonnie Thompson,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Raymond Pierrehumbert,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
David Keith,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Ken Caldeira,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Drew Shindell,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Richard Alley,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Camille Parmesan,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Joyashree Roy,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Brian Cox,Science Communication,academic/citation_elite,"Physics professor, University of Manchester (also BBC presenter)",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Michio Kaku,Science Communication,academic/citation_elite,"Physics professor, CUNY (also media-focused)",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Alice Roberts,Science Communication,academic/citation_elite,"Anatomy professor, University of Birmingham (also broadcaster)",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Steven Novella,Science Communication,academic/citation_elite,"Neurologist, Yale School of Medicine",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
David Gorski,Science Communication,academic/citation_elite,"Surgical oncologist, Wayne State University",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Eric Topol,Science Communication,academic/citation_elite,"Cardiologist, Scripps Research",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Sander van der Linden,Science Communication,academic/citation_elite,"Misinformation psychology researcher, Cambridge",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Stephan Lewandowsky,Science Communication,academic/citation_elite,"Misinformation psychology researcher, Bristol",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Ullrich Ecker,Science Communication,academic/citation_elite,"Misinformation psychology researcher, UWA",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Gordon Pennycook,Science Communication,academic/citation_elite,"Misinformation/reasoning researcher, Cornell",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Timothy Caulfield,Science Communication,academic/citation_elite,"Canada Research Chair in Health Law, University of Alberta",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Ben Goldacre,Science Communication,academic/citation_elite,"Academic, Oxford (Bad Science)",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Katelyn Jetelina,Science Communication,academic/citation_elite,"Epidemiologist, public-health newsletter author",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Bill Nye,Science Communication,none,"Media personality/educator, no active research role",,,,Y,Y,public_salience-only per briefing's own triage rule -- do NOT treat as institutionally credentialed
David Attenborough,Science Communication,none,"Broadcaster/naturalist, no formal ongoing research career",,,,Y,Y,public_salience-only per briefing's own triage rule -- do NOT treat as institutionally credentialed
Michael Shermer,Science Communication,none,"Skeptic Magazine founder, functions as public skeptic not institutional researcher",,,,Y,Y,public_salience-only per briefing's own triage rule -- do NOT treat as institutionally credentialed
Susan Blackmore,Science Communication,none,"Formerly academic psychologist, now independent/freelance",,,,Y,Y,public_salience-only per briefing's own triage rule -- do NOT treat as institutionally credentialed
Joe Nickell,Science Communication,none,"Paranormal investigator, CSICOP fellow, no institutional research position",,,,Y,Y,public_salience-only per briefing's own triage rule -- do NOT treat as institutionally credentialed
Mick West,Science Communication,none,"Metabunk.org founder, former video-game programmer -- explicitly no institutional/scientific basis",,,,Y,Y,public_salience-only per briefing's own triage rule -- do NOT treat as institutionally credentialed
John Crace,Science Communication,none,"Journalist, Guardian",,,,Y,Y,public_salience-only per briefing's own triage rule -- do NOT treat as institutionally credentialed
Ed Yong,Science Communication,none,"Science journalist, The Atlantic",,,,Y,Y,public_salience-only per briefing's own triage rule -- do NOT treat as institutionally credentialed
Carl Zimmer,Science Communication,none,"Science journalist, NYT",,,,Y,Y,public_salience-only per briefing's own triage rule -- do NOT treat as institutionally credentialed
Bill Nelson,Aerospace/Tech Regulation,office,NASA Administrator,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Nicky Fox,Aerospace/Tech Regulation,office,NASA Science Mission Directorate,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Ajit Pai,Aerospace/Tech Regulation,office,FCC Chair (former),,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Jessica Rosenworcel,Aerospace/Tech Regulation,office,FCC Chair,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Eric van Rongen,Aerospace/Tech Regulation,office,ICNIRP Chair (radiation safety),,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
David Spergel,Aerospace/Tech Regulation,citation_elite,"Astrophysicist, Simons Foundation",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Seth Shostak,Aerospace/Tech Regulation,academic/citation_elite,SETI Institute astronomer,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Jill Tarter,Aerospace/Tech Regulation,academic/citation_elite,SETI Institute astronomer,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
David Morrison,Aerospace/Tech Regulation,academic/citation_elite,"NASA scientist, asteroid-impact risk communicator",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Rodney Croft,Aerospace/Tech Regulation,academic/citation_elite,"EMF/health researcher, ICNIRP",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Phil Plait,Aerospace/Tech Regulation,none,"Astronomer-turned-blogger (Bad Astronomy), no active institutional research role",,,,Y,Y,public_salience-only per briefing's triage rule
